text,sentiment,label
"Peaceful CAA opposers not 'traitors, anti-nationals': HC https://timesofindia.indiatimes.com/india/peaceful-caa-opposers-not-traitors-anti-nationals-hc/articleshow/74143340.cms?utm_campaign=andapp&amp;utm_medium=referral&amp;utm_source=native_share_tray ......But only Indian nationals, not Pakistanis &amp; Bangladeshi, even though peaceful. @TOIIndiaNews @htTweets @aajtak @PTI_News @BBCHindi @ABPNews #support_caa_and_nrc #support_caa",0.16666666666666666,1
Gujarat College Girls Made To Strip To Detect Menstruation: Report #USAAgainstCAA_NRC_NPR https://www.ndtv.com/india-news/gujarat-college-girls-made-to-strip-to-detect-menstruation-report-2180435 Shared via NDTV News App (Android - http://ndtv.com/android | iPhone - http://ndtv.com/iPhone ),0.0,0
Mns dont have d rights to impose nrc n check anyone’s documents.its not even imposed by central.its clearly a goondaraj as they r also not authorised govt body to check documents.people shouldn’t support dis.its inhuman to torture people,0.10000000000000002,1
Yea right. He has no business being appointed to the NRC. ,0.2857142857142857,1
@chennai police की बरबरियत Anti-CAA protestors in Chennai’s Washermanpet were subjected to police brutality a little while ago. #CAA_NRC_Protests,-0.1875,-1
#WorldAgainstCAA_NRC_NPR Raise your voice to condemn the discriminatory and divisive politics being played to serve fascist agendas. The Indian government is shutting down voices of dissent and shrinking democratic space.,-0.15555555555555559,-1
The final NRC data of Assam has vanished.@IndiaToday @ndtv @indian_armada @ashoswai @BaNna_sAhab_ @SangramSatpath3 @saurabhtop @Pun_Starr @ppbajpai @PrashantKishor @priyankagandhi @saliltripathi @TribalArmy @Troll_Modi,0.0,0
@चेन्नई पुलिस की बरबरियत Anti-CAA protestors in Chennai’s Washermanpet were subjected to police brutality a little while ago. #CAA_NRC_Protests,-0.1875,-1
That tells either you failed to Listen to him properly Or you misunderstood NRC vs AssamNRC He clearly said Assam NRC rules were set forward by Congress &amp; Supreme Court ordered it to be finished up by a deadline And he said nationwide NRC being drafted w different set of rule,-0.09999999999999999,-1
"Masha Allah. What's name of this baby? Look at his cute face & innocence, that's why we the Muslims of India are opposing #CAA &amp; #NRC because we don't want our kids to be stateless.",0.5,1
@narendramodi modiji pl implement NRC across whole India without further delay with all necessary security measures. @AmitShah,0.06666666666666667,1
communits spreading lies about CAA. India supports CAA NRC and NPR. Yogendra yadav is a liar. #LiarYogendraYadav,0.0,0
Indian #hypocrisy has no end #IndiaAgainstCAA_NPR_NRC #kashmircage_ofbrutility,0.0,0
2/14/2020 - Happy Valentines Day! Every run has a purpose. #RunMcKinney #RunTexas #instarunners #justdoit #nrc #nikerunning #nikerunningclub #allineedisonemile #RunWithHCM @nikerunning @teamnike #RunTheYear #2020in2020,1.0,1
All I can see was the camera lights flashing and the police beating up the protesters. They knew everything was recorded but still carry out these atrocities. That's frightening. But they forget. We fear Allah alone. #BeingMuslim #washermanpet #NRC_CAA_NPR #PoliceBrutality,-0.5,-1
"My Mother worked for GE for 40+ years then consulted for Westinghouse and taught - My Uncle worked on the simulator in San Jose for 30+ Years - My grandmother worked on Licensure for licensing with NRC Been a family affair - I, myself joined the Corps and went into Electronics",0.0,0
Thank you Paul for the common sense and civility.,-0.3,-1
This how moral police and so called political party start acting like a police meanwhile bakht say “abhi NRC bola hai aya nahi” ,0.0,0
"Haha, wat leuk.",0.2,1
CAA protests: Deoband administration in UP asks residents in Muslim colonies to remove national flag https://amp.scroll.in/latest/953124/caa-protests-deoband-administration-in-up-asks-residents-in-muslim-colonies-to-remove-national-flag?__twitter_impression=true #CAA_NRC_Protests,0.0,0
"@AmitShah we, the people of India don't want NRC, CAA or NPR. We want employment and safety.",0.0,0
"Protests continued overnight at key location including, Trichy, Pondicherry, Coimbatore, Madurai, Sivagangai, Thiruvannamalai, Tirupur and Erode with people demanding the release of those who have been detained by the #Chennai Police. #CAA_NRC_Protests",0.0,0
"If there is no #NRC then why the police are manhandling anti #NRC protestors, as far as I know police won't do such things if they are not ordered.. ",0.05,1
Congratulations to The @cityofalbertlea on winning our 2019 #VOPAward for Transformation in Mobility! #localgov @ICMA Full list of winners: https://www.n-r-c.com/announcing-2019-voice-of-the-people-awards-winners/,0.4875,1
Seriously??!! Wow!! The nerve of this guy.. #NRC_CAA_NPR #TN #puppetgovt,0.15625,1
"@IndiasMuslims March towards state Assembly and show our power. Take up the challenge of painstakingly mobilising rural poor of Bihar against NPR-NRC-CAA, to complement Bihar's many Shaheen Baghs, to March to Bihar Assembly on Feb 25. How many Opposition parties are doing this?",0.15,1
"You're welcome Félix, it was nice (and interesting) talking with you.",0.6333333333333333,1
"#BeingMuslim #SharjeelImam It's not about CAA , NRC It's fight of muslims against fascist constitution from independence constitution has brutalised muslims (enemy properity act , article-370 , babari , Nellie massacre ) ",0.0,0
Say no to nrc caa #WorldAgainstCAA_NRC_NPR,0.0,0
"Remember Assam NRC was conducted under SC monitoring and they got 19 L ghuspaithhiyeh. With no court monitoring , NPR is likely to spell bigger disaster on Indian citizens.",0.0,0
"For those who aren't Tamil, the woman in the video is detailing her experience of police atrocity, of women getting dragged by their hair, etc. And of how she was detained along with her little child (seen in video) despite her protest. #Chennai #PoliceBrutality #CAA_NRC_Protest",-0.1875,-1
"It's not because of ""Hindia""..It's because of mini pakistans in india where a non muslim cannot pass through. What you are seeing is a defensive action. Moreover NRC is against indian muslims is a lie.",0.1,1
* World Should Be Again ! #WorldAgainstCAA_NRC_NPR,0.0,0
Ran 6.30 miles with Nike⁠ Run Club #iheartrunning #nrc #universerunners #mileslogged #iheartnike @teamnike @bennettrun 🏃🏾‍♂️,0.0,0
"Selfie with Lina Wertmuller!. (gfvip,uefa,Manchester city,Denver,canvalentinendidivinity,pago,propagandalive,Losshow,usaagainstcaa__nrc__npr,movies,people,Hollywood,Oscars20,whatsapp,bigbossfinale,barcelona,Saint Valentine2020,foxradio,foxchannella,valentine2020,cnn ",0.0,0
I am overjoyed. When people say #RepresentationMatters this is why. Having a Desi progressive woman like @PramilaJayapal representing us in @HouseDemocrats means so much. So wonderful meeting you!! @RepJayapal @USProgressives #USAAgainstCAA_NRC_NPR,1.0,1
"1. Unnao Rape victim, her family then lawyer 2. Subodh Kumar and his family 3. #DrKafeelKhan and his family What more do you want to do asshole??? #ReleaseDrKafeel #WorldAgainstCAA_NRC_NPR",0.2125,1
happy birthdayyyy @lvjshrms!! ❤️,1.0,1
"3. In Assam, 19.5 lakhs ppl are out of NRC list, many later proved to be Indian citizens. People protested. Then BJP took revised NRC list, now it says only 7 lakhs are out of NRC list. There r lakhs of ppl still in detention centre. Many of them are poor hindu labour workers.",0.12,1
CAA - NPR - NRC rejected by Millions of Indians around the world 🌍 ,0.0,0
HUGE RALLY by women against #CAA_NRC_NPR from #ShahiEidgah protest to #azadmarket to #filmistan &amp; #jhandewalan DELHI 🎥:Baricci @bariccikhan (Bilal Khan) @BhimArmyChief @ReallySwara #ShaheenBagh #baricci @anuragkashyap72 @ndtv @ravishndtv @PDWKB @jamiamillia_ @AMUJournal,0.4000000000000001,1
"@67irr non existing NRC, love it🤣🤣🤣 ",0.5,1
Getting up to speed with covid-19. Collectively we can beat this thing! #outbreak #COVID2019 @NRC_CNRC,0.0,0
"Dr. Sahab, please educate us why NRC is ''very important and very necessary'' ?",0.26,1
NPR 'no entry' signs in Old City http://epaper.deccanchronicle.com/articledetailpage.aspx?id=14572856 #CAA_NRC_NPR #Census2020 #Hyderabad #OldCity #Enumerator #Protest,0.1,1
The court of law gave a go ahead for CAA nd NRC but people are still protesting. No respect for law mates...?,0.0,0
"This tag shows the world opposses NRC AND NPR But when we see the people names Only Mohamed ,Malik ,anwar are opposing this . Then why this tag #WorldAgainstCAA_NRC_NPR",0.0,0
Your power will not be break our resolve to fight against #NRC_NPR_CAA,0.0,0
CAA protesters in lurch over permission http://epaper.deccanchronicle.com/articledetailpage.aspx?id=14573153 #CAA_NRC_NPR #Protest #women #Police #Hyderabad #Telangana,0.0,0
There's nothing wrong with it.,-0.5,-1
"New Michigan NRC chair says he’s not anti-gun, despite gun group opposition ",0.13636363636363635,1
"@M_PRACHA at the protest of Shahi Eidgah in solidarity with the women against #NRC #CAA ,Today. Video by Baricci @bariccikhan (Bilal Khan) #ShaheenBagh #shahieidgah #baricci #CAA_NRC_Protests @BhimArmyChief @ndtv @ravishndtv @PDWKB #CAA_NRC_NPR @jamiamillia_ @AMUJournal",0.0,0
Missed my morning run because it felt like -8°(6°). Held out for sunlight & a warmer temp of 11° (feels like 2°). #justdoit #nrc #coldAF #beautifulday #sun #snowytrees #NYwinter #happyVDay #blueskies #nofilter #badass #jognado #SW4ml #♥️,0.0,0
"@M_PRACHA at the protest of Shahi Eidgah in solidarity with the women against #NRC #CAA ,Today. photo by Baricci @bariccikhan (Bilal Khan) #ShaheenBagh #shahieidgah #baricci @BhimArmyChief @ndtv @ravishndtv @PDWKB @jamiamillia_ @AMUJournal",0.0,0
Tamil Nadu police violence and brutality against protestors in #Chennai #Washermanpet has now triggered midnight statewide protests. Trying to retweet amplify whatever I see on my timeline #CAA_NRC_Protest,0.0,0
The protest should continue until TN declares it won't implement NRC and CAA,0.0,0
"@AtishiAAP @ReallySwara @fayedsouza @Nidhi @NaghmaSahar @khanumarfa @RichaChadha @RanaAyyub @AudreyTruschke (honorary) @MnshaP @BDUTT @NidhiKNDTV @Shehla_Rashid all women protestors against CAA-NRC-police brutality, Kashmir lockdown, fascist GOI",0.0,0
A revolutionary lady in shorts and a shirt at a candlelight vigil at an anti-CAA-NRC-NPR vigil. Fierce Muslim tigress. #BeingMuslim,0.0,0
"Are you ok ... Why you're bluffing over NRC ... Does India have NRC on pan level, it's just only in asam where it is essential, India is not dharamshala to keep rohigyas who banished from everywhere because of there criminal mindset and criminal functionality",-0.06000000000000001,-1
India is with CAA NRC and NPR,0.0,0
Kannur Kerala today against #CAA_NRCProtests Reject CAA NRC NPR ,0.0,0
India is in hands of fascist government people need to wakeup before its too late. we will not let terrorism ideology to rule India #WorldAgainstCAA_NRC_NPR,-0.3,-1
"Nothing defines #Valentines2020 better than these images. Thank you, @anuragkashyap72 💫 #IndiaAgainstCAA_NPR_NRC ",0.5,1
